SeaArmy
INFANTRYUNIT,Whale,100,15,10
INFANTRYUNIT,Whale,100,15,10
INFANTRYUNIT,Whale,100,15,10
INFANTRYUNIT,Whale,100,15,10
INFANTRYUNIT,Whale,100,15,10
INFANTRYUNIT,Whale,100,15,10
INFANTRYUNIT,Whale,100,15,10
INFANTRYUNIT,Whale,100,15,10
INFANTRYUNIT,Salmon,50,15,10
INFANTRYUNIT,Salmon,50,15,10
INFANTRYUNIT,Salmon,50,15,10
INFANTRYUNIT,Salmon,50,15,10
INFANTRYUNIT,Salmon,50,15,10
CAVALRYUNIT,Crab,30,20,12
CAVALRYUNIT,Crab,30,20,12
CAVALRYUNIT,Crab,30,20,12
CAVALRYUNIT,Crab,30,20,12
CAVALRYUNIT,Crab,30,20,12
RANGEDUNIT,Squid,40,15,8
RANGEDUNIT,Squid,40,15,8
RANGEDUNIT,Squid,40,15,8
RANGEDUNIT,Squid,40,15,8
RANGEDUNIT,Squid,40,15,8
RANGEDUNIT,Squid,40,15,8
RANGEDUNIT,Squid,40,15,8
RANGEDUNIT,Squid,40,15,8
RANGEDUNIT,Squid,40,15,8
RANGEDUNIT,Squid,40,15,8
RANGEDUNIT,Squid,40,15,8
RANGEDUNIT,Squid,40,15,8
RANGEDUNIT,Squid,40,15,8
RANGEDUNIT,Squid,40,15,8
RANGEDUNIT,Squid,40,15,8
